class;definition;sub-category;symbol;unit;default;range;references
;;;"""Entry hall"" indoor.side";predefined values;"""bottom""";-;Input
;;;"""Entry hall"" extdoor.side";predefined values;"""left""";-;Input
;;;"""Entry hall"" Air_Cond_Type";predefined values;"""CMV""";-;Input
;;;"""Entry hall"" Air_renewal";m3/h;90 (SD);[60 - 120];Input
;;;"""Entry hall"" Airflowrate";m3/h;90 (SD);non inclus;Input
;;;"""W.C."" dim.X";m;2;-;Input
;;;"""W.C."" dim.Y";m;2;-;Input
;;;"""W.C."" dim.Z";m;2.5;-;Input
;;;"""W.C."" pos.X";ratio;1;-;Input
;;;"""W.C."" pos.Y";ratio;1;-;Input
;;;"""W.C."" indoor.side";predefined values;"""left""";-;Input
;;;"""W.C."" extdoor.side";predefined values;NA;-;Input
;;;"""W.C."" Air_Cond_Type";predefined values;"""CMV""";-;Input
;;;"""W.C."" Air_renewal";m3/h;30 (SD);-;
;;;"""W.C."" Airflowrate";m3/h;30 (SD);-;
;;;"""Cooling area"" dim.X";m;5;-;Input
;;;"""Cooling area"" dim.Y";m;5;-;Input
;;;"""Cooling area"" dim.Z";m;3;-;Input
;;;"""Cooling area"" pos.X";ratio;1;-;Input
;;;"""Cooling area"" pos.Y";ratio;0;-;Input
;;;"""Cooling area"" indoor.side";predefined values;"""left""";-;Input
;;;"""Cooling area"" extdoor.side";predefined values;NA;-;Input
;;;"""Cooling area"" Air_Cond_Type";predefined values;"""DEC""";-;Input
;;;"""Cooling area"" Air_renewal";m3/h;120 (SD);-;
;;;"""Cooling area"" Airflowrate";m3/h;500 (SD);non inclus;
;;;"""Arrival gate"" dim.X";m;2;;Input
;;;"""Arrival gate"" dim.Y";m;2;;Input
;;;"""Arrival gate"" dim.Z";m;3;;Input
;;;"""Arrival gate"" pos.X";ratio;0;;Input
;;;"""Arrival gate"" pos.Y";ratio;0.4;;Input
;;;"""Arrival gate"" indoor.side";predefined values;"""right""";;Input
;;;"""Arrival gate"" extdoor.side";predefined values;"""left""";;Input
;;;"""Arrival gate"" Air_Cond_Type";predefined values;"""DEC""";;Input
;;;"""Arrival gate"" Air_renewal";m3/h;30 (SD);;
;;;"""Arrival gate"" Airflowrate";m3/h;200 (SD);;
;;;"""Waste area"" dim.X";m;2;-;Input
;;;"""Waste area"" dim.Y";m;3;-;Input
;;;"""Waste area"" dim.Z";m;3;-;Input
;;;"""Waste area"" pos.X";ratio;0.7;-;Input
;;;"""Waste area"" pos.Y";ratio;0;-;Input
;;;"""Waste area"" indoor.side";predefined values;"""bottom""";-;Input
;;;"""Waste area"" extdoor.side";predefined values;"""top""";-;Input
;;;"""Waste area"" Air_Cond_Type";predefined values;"""DEC""";-;Input
;;;"""Waste area"" Air_renewal";m3/h;30 (SD);-;
;;;"""Waste area"" Airflowrate";m3/h;200 (SD);-;
;;;"""Office"" dim.X";m;5;-;Input
;;;"""Office"" dim.Y";m;4;-;Input
;;;"""Office"" dim.Z";m;3;-;Input
;;;"""Office"" pos.X";ratio;1;-;Input
;;;"""Office"" pos.Y";ratio;0.5;-;Input
;;;"""Office"" indoor.side";predefined values;"""left""";-;Input
;;;"""Office"" extdoor.side";predefined values;NA;-;Input
;;;"""Office"" Air_Cond_Type";predefined values;"""CMV""";-;Input
;;;"""Office"" Air_renewal";m3/h;120 (SD);-;
;;;"""Office"" Airflowrate";m3/h;200 (SD);-;
;;;"""Conveyor1"" dim.X";m;14;-;Input
;;;"""Conveyor1"" dim.Y";m;1;-;Input
;;;"""Conveyor1"" pos.X";ratio;0.2;-;Input
;;;"""Conveyor1"" pos.Y";ratio;0.45;-;Input
;;;"""Conveyor2"" dim.X";m;14;-;Input
;;;"""Conveyor2"" dim.Y";m;1;-;Input
;;;"""Conveyor2"" pos.X";ratio;0.25;-;Input
;;;"""Conveyor2"" pos.Y";ratio;0.25;-;Input
;;;"""Equipment1"" dim.X";m;1;-;Input
;;;"""Equipment1"" dim.Y";m;1;-;Input
;;;"""Equipment1"" pos.X";ratio;0.75;-;Input
;;;"""Equipment1"" pos.Y";ratio;0.35;-;Input
Surfaces;Inert_prop;;inert_prop;ratio;01-mars;0 - 0.5;Assumption
;;;food_prop;ratio;02-mars;0.5 - 1;Assumption
;;;nFP_expo;# portions;10;janv-20;Assumption
;;;transfer_S2F;rate;0.99;0.64 - 1;Duret et al., 2017
;;;transfer_F2S;rate;0.28;0.01 - 0.95;Duret et al., 2017
;;;;;;;
;;;pos_threshold;RNA copies;5log (LG);;Estimation (LG)
Air;;;Droplet classes;µm;0.8/ 1.8/ 3.5/ 5.5/ 20/ 100;;Buonnanno et al., 2020
;;;Cd_exp (Breathing);m-3;0.084/0.009/0.003/0.002/ 0/ 0 * 1E6;20%;Morawska et al., 2009, Kenedy et al. 2020
;;;"Cd_exp (Voiced counting ""talking"")";m-3;0.236/ 0.068/ 0.007/ 0.011/ 0/ 0 * 1E6;20%;Morawska et al., 2009, Kenedy et al. 2020
;;;"Cd_exp (Unmodulated vocalization ""talking loud"")";m-3;0.751/ 0.139/ 0.139/ 0.059/ 0/ 0 * 1E6;20%;Morawska et al., 2009, Kenedy et al. 2020
;;;Cd_cough (Coughing);m-3;0/ 0.025/ 0.145/ 0.48/ 2.51/ 6.65 * 1E6;20%;Duguid 1946
;;;Cd_sneeze (Sneezing);m-3;0/ 13/ 80/ 175/ 230/ 489 * 1E6;20%;Duguid 1946
;;;RespRate (Resting);m3/min;0.49 / 60;-;Adams 1993
;;;RespRate (Standing);m3/min;0.54 / 60;-;Adams 1994
;;;RespRate (Light exercise);m3/min;1.38 / 60;-;Adams 1995
;;;RespRate (Moderate exercise);m3/min;2.35 / 60;-;Adams 1996
;;;RespRate (Heavy exercise);m3/min;3.3 / 60;-;Adams 1997
;;;p_cough (infectious);freq/minutes;févr-60;;Birrong et al., 2006
;;;p_cough (symptomatic);freq/minutes;47 / 60;-;Birrong et al., 2006
;;;p_cough (asymptomatic);freq/minutes;févr-60;-;Birrong et al., 2006
;;;p_sneeze (infectious);freq/minutes;0,002;[0 0,004] max 4 fois par jour;Hansen and Mygind 2002
;;;p_sneeze (symptomatic);freq/minutes;janv-60;"[ 0; 5/60]"; Musch et al 2021
;;;p_sneeze (asymptomatic);freq/minutes;0,08;[0 0,16];Hansen and Mygind 2002
;;;p_zone (ctr);ratio;0.2;-;Estimation based on Li et al., 2021
;;;p_zone (adj1);ratio;0.05;-;Estimation based on Li et al., 2021
;;;p_zone (adj2);ratio;0.03;-;Estimation based on Li et al., 2021
;;;p_zone (adj3);ratio;0.015;-;Estimation based on Li et al., 2021
;;;p_zone_air (ctr);ratio;1;-;Estimation based on Li et al., 2021
;;;p_zone_air (adj1);ratio;0.11;-;Estimation based on Li et al., 2021
;;;p_zone_air (adj2);ratio;0.045;-;Estimation based on Li et al., 2021
;;;p_zone_air (adj3);ratio;0.015;-;Estimation based on Li et al., 2021
